Id,Name,Description,Longitude,Latitude,Status
68,MIDAS Site at M20/6568A1 priority 1 on link 104029103; GPS Ref: 575522;158555; Eastbound,M20/6568A1,0.516361528,51.29906029,Active
69,MIDAS site at M1/2623B priority 1 on link 200113964; GPS Ref: 502135;229759; Southbound,M1/2623B,-0.515061151,51.95695689,Active
70,MIDAS site at M6/6998A priority 1 on link 110002601; GPS Ref: 366305;386441; Northbound,M6/6998A,-2.507917891,53.37376125,Active
71,MIDAS site at M1/2926A priority 3 on link 108019502; GPS Ref: 480229;249190; Northbound,M1/2926A,-0.829220735,52.13520827,Active
72,MIDAS site at M4/3332L priority 1 on link 102001801; GPS Ref: 409934;183135; Eastbound,M4/3332L,-1.8581265550000001,51.54702384,Active
73,MIDAS site at M25/5235K priority 1 on link 108024201; GPS Ref: 512430;203156; Clockwise,M25/5235K,-0.37394158800000005,51.71587946,Active
74,MIDAS site at M1/4065B priority 1 on link 107033101; GPS Ref: 450821;346881; Southbound,M1/4065B,-1.243894594,53.01684389,Active
75,MIDAS site at M25/4447B priority 3 on link 199121901; GPS Ref: 532106;152830; Anti-clockwise,M25/4447B,-0.10809785400000001,51.25933208,Active
76,MIDAS site at M4/2502A priority 1 on link 105007301; GPS Ref: 485180;174964; Westbound,M4/2502A,-0.7751159590000001,51.46724672,Inactive
77,MIDAS site at M1/4846L priority 1 on link 116009901; GPS Ref: 429776;412210; Southbound,M1/4846L,-1.551479134,53.60562665,Active
78,MIDAS site at A2/8420A priority 1 on link 200008841; GPS Ref: 568477;169674; Eastbound,A2/8420A,0.420665736,51.40107767,Active
79,MIDAS site at A1M/9470A priority 1 on link 108009401; GPS Ref: 523534;222509; Northbound,A1M/9470A,-0.20640232300000003,51.88746617,Active
80,MIDAS site at M25/4409B priority 1 on link 123011501; GPS Ref: 535888;152808; Anti-clockwise,M25/4409B,-0.053937862,51.25824607,Active
81,MIDAS site at M6/7313B priority 1 on link 117007102; GPS Ref: 354533;412534; Southbound,M6/7313B,-2.688634379,53.6073952,Active
82,MIDAS site at M62/2324A priority 1 on link 200017490; GPS Ref: 447037;424070; Eastbound,M62/2324A,-1.28884505,53.71095788,Active
83,MIDAS site at M6/7096B priority 1 on link 117015301; GPS Ref: 361194;394001; Southbound,M6/7096B,-2.58566816,53.44135956,Active
84,MIDAS site at M40/9061K priority 1 on link 200034725; GPS Ref: 454748;227915; Northbound,M40/9061K,-1.204858357,51.94705471,Active
85,MIDAS site at M56/8114J priority 1 on link 115007401; GPS Ref: 381672;387320; Westbound,M56/8114J,-2.2769989280000003,53.38242189,Active
